,OA11CD,locationCount
1359,E00023724,1
1360,E00023725,6
1361,E00023723,6
1362,E00023676,5
1363,E00023755,9
1364,E00023752,2
1365,E00023816,15
1366,E00024006,2
1367,E00023801,7
1368,E00023614,9
1369,E00023696,2
1370,E00023697,4
1371,E00023695,10
1372,E00023612,8
1373,E00175215,102
1374,E00175213,57
1375,E00024048,385
1376,E00024040,1
1377,E00024063,38
1378,E00024066,84
1379,E00023478,945
1380,E00023843,54
1381,E00024074,3
1382,E00023842,92
1383,E00023844,78
1384,E00024077,21
1385,E00023728,20
1386,E00024075,3
1387,E00023840,209
1388,E00023845,273
1389,E00175206,3172
1390,E00024042,4
1391,E00023510,133
1392,E00023561,33
1393,E00023560,22
1394,E00023767,8
1395,E00023726,5
1396,E00023727,23
1397,E00024140,49
1398,E00175240,5
1399,E00175241,239
1400,E00023665,41
1401,E00175245,1
1402,E00023999,2
1403,E00023913,1
1404,E00024103,9
1405,E00024108,100
1406,E00023919,394
1407,E00023785,15
1408,E00023702,4
1409,E00023926,1
1410,E00023927,8
1411,E00023922,5
1412,E00175182,24
1413,E00175181,46
1414,E00023920,21
1415,E00175264,1
1416,E00175267,5
1417,E00175265,2
1418,E00023491,6
1419,E00023492,12
1420,E00023493,1
1421,E00023490,63
1422,E00024060,1
1423,E00024058,8
1424,E00023829,1
1425,E00023828,29
1426,E00175189,321
1427,E00175184,2
1428,E00023972,4
1429,E00023973,8
1430,E00023975,20
1431,E00023773,1
1432,E00175276,5
1433,E00175270,3
1434,E00175271,1
1435,E00023555,2
1436,E00023450,11
1437,E00023451,3
1438,E00023452,2
1439,E00023453,6
1440,E00175194,260
1441,E00175199,7
1442,E00175195,83
1443,E00175196,635
1444,E00175197,8
1445,E00023867,1
1446,E00175186,644
1447,E00175187,39
1448,E00175180,29
1449,E00175183,65
1450,E00024096,14
1451,E00175222,1
1452,E00175223,1
1453,E00175220,2
1454,E00175221,1
1455,E00023668,3
1456,E00023661,5
1457,E00023660,6
1458,E00023669,308
1459,E00023622,10
1460,E00023620,30
1461,E00023625,15
1462,E00023813,5
1463,E00024083,5
1464,E00024002,12
1465,E00023812,2
1466,E00024005,20
1467,E00023810,1
1468,E00023907,1
1469,E00024136,76
1470,E00023987,2
1471,E00024137,671
1472,E00023606,6
1473,E00023687,28
1474,E00024121,26
1475,E00023938,1201
1476,E00023931,149
1477,E00024123,2
1478,E00023930,1834
1479,E00023933,192
1480,E00024122,1
1481,E00023939,167
1482,E00024128,143
1483,E00023592,3
1484,E00023512,3
1485,E00023514,3
1486,E00023515,1
1487,E00023517,10
1488,E00023595,117
1489,E00024045,19
1490,E00023559,6
1491,E00023558,39
